db_timestamp,timestamp,order_id,exchange_order_id,order_version,order_timestamp,inst_type,exchange_code
2025-03-03 08:12:12.755,2025-03-03 08:12:12.755,123456ABCD,123456ABCD,1,2025-03-03 08:18:12.755,ins1,exch1
2025-03-03 08:12:12.755,2025-03-03 08:12:12.755,223456ABCD,223456ABCD,1,2025-03-03 08:18:12.755,ins1,exch1
2025-03-03 08:12:12.755,2025-03-03 08:12:12.755,323456ABCD,323456ABCD,1,2025-03-03 08:18:12.755,ins1,exch1
2025-03-03 08:12:12.755,2025-03-03 08:12:12.755,423456ABCD,423456ABCD,1,2025-03-03 08:18:12.755,ins1,exch1
2025-03-03 08:18:12.755,2025-03-03 08:18:12.755,523456ABCD,523456ABCD,1,2025-03-03 08:18:12.755,ins1,exch1
2025-03-03 08:18:12.755,2025-03-03 08:18:12.755,623456ABCD,623456ABCD,1,2025-03-03 08:18:12.755,ins1,exch1
2025-03-03 08:18:12.755,2025-03-03 08:18:12.755,723456ABCD,723456ABCD,1,2025-03-03 08:18:12.755,ins1,exch1
2025-03-03 08:18:12.755,2025-03-03 08:18:12.755,823456ABCD,823456ABCD,1,2025-03-03 08:18:12.755,ins1,exch1
2025-03-03 08:18:12.755,2025-03-03 08:18:12.755,923456ABCD,923456ABCD,1,2025-03-03 08:18:12.755,ins1,exch1
2025-03-03 08:18:12.755,2025-03-03 08:18:12.755,1023456ABCD,,1,2025-03-03 08:18:12.755,ins1,exch1
